ride_id,started_at,TAVG,start_station_name
RID1,2022-01-01,30,Station 0
RID2,2022-01-02,31,Station 1
RID3,2022-01-03,32,Station 2
RID4,2022-01-04,33,Station 3
RID5,2022-01-05,34,Station 4
RID6,2022-01-06,35,Station 0
RID7,2022-01-07,36,Station 1
RID8,2022-01-08,37,Station 2
RID9,2022-01-09,38,Station 3
RID10,2022-01-10,39,Station 4
RID11,2022-01-11,30,Station 0
RID12,2022-01-12,31,Station 1
RID13,2022-01-13,32,Station 2
RID14,2022-01-14,33,Station 3
RID15,2022-01-15,34,Station 4
RID16,2022-01-16,35,Station 0
RID17,2022-01-17,36,Station 1
RID18,2022-01-18,37,Station 2
RID19,2022-01-19,38,Station 3
RID20,2022-01-20,39,Station 4
RID21,2022-01-21,30,Station 0
RID22,2022-01-22,31,Station 1
RID23,2022-01-23,32,Station 2
RID24,2022-01-24,33,Station 3
RID25,2022-01-25,34,Station 4
RID26,2022-01-26,35,Station 0
RID27,2022-01-27,36,Station 1
RID28,2022-01-28,37,Station 2
RID29,2022-01-29,38,Station 3
RID30,2022-01-30,39,Station 4
RID31,2022-01-31,30,Station 0
RID32,2022-02-01,31,Station 1
RID33,2022-02-02,32,Station 2
RID34,2022-02-03,33,Station 3
RID35,2022-02-04,34,Station 4
RID36,2022-02-05,35,Station 0
RID37,2022-02-06,36,Station 1
RID38,2022-02-07,37,Station 2
RID39,2022-02-08,38,Station 3
RID40,2022-02-09,39,Station 4
RID41,2022-02-10,30,Station 0
RID42,2022-02-11,31,Station 1
RID43,2022-02-12,32,Station 2
RID44,2022-02-13,33,Station 3
RID45,2022-02-14,34,Station 4
RID46,2022-02-15,35,Station 0
RID47,2022-02-16,36,Station 1
RID48,2022-02-17,37,Station 2
RID49,2022-02-18,38,Station 3
RID50,2022-02-19,39,Station 4
RID51,2022-02-20,30,Station 0
RID52,2022-02-21,31,Station 1
RID53,2022-02-22,32,Station 2
RID54,2022-02-23,33,Station 3
RID55,2022-02-24,34,Station 4
RID56,2022-02-25,35,Station 0
RID57,2022-02-26,36,Station 1
RID58,2022-02-27,37,Station 2
RID59,2022-02-28,38,Station 3
RID60,2022-03-01,39,Station 4
RID61,2022-03-02,30,Station 0
RID62,2022-03-03,31,Station 1
RID63,2022-03-04,32,Station 2
RID64,2022-03-05,33,Station 3
RID65,2022-03-06,34,Station 4
RID66,2022-03-07,35,Station 0
RID67,2022-03-08,36,Station 1
RID68,2022-03-09,37,Station 2
RID69,2022-03-10,38,Station 3
RID70,2022-03-11,39,Station 4
RID71,2022-03-12,30,Station 0
RID72,2022-03-13,31,Station 1
RID73,2022-03-14,32,Station 2
RID74,2022-03-15,33,Station 3
RID75,2022-03-16,34,Station 4
RID76,2022-03-17,35,Station 0
RID77,2022-03-18,36,Station 1
RID78,2022-03-19,37,Station 2
RID79,2022-03-20,38,Station 3
RID80,2022-03-21,39,Station 4
RID81,2022-03-22,30,Station 0
RID82,2022-03-23,31,Station 1
RID83,2022-03-24,32,Station 2
RID84,2022-03-25,33,Station 3
RID85,2022-03-26,34,Station 4
RID86,2022-03-27,35,Station 0
RID87,2022-03-28,36,Station 1
RID88,2022-03-29,37,Station 2
RID89,2022-03-30,38,Station 3
RID90,2022-03-31,39,Station 4
RID91,2022-04-01,30,Station 0
RID92,2022-04-02,31,Station 1
RID93,2022-04-03,32,Station 2
RID94,2022-04-04,33,Station 3
RID95,2022-04-05,34,Station 4
RID96,2022-04-06,35,Station 0
RID97,2022-04-07,36,Station 1
RID98,2022-04-08,37,Station 2
RID99,2022-04-09,38,Station 3
RID100,2022-04-10,39,Station 4
